region;subregion;eligible_voters_19;eligible_voters_14;voters_19;voters_14;invalid_19;invalid_14;valid_19;valid_14;afd_19;afd_14
Unterallgäu;9,0;108873;106402;64090;41387;174;210;63916;41177;6401;3961
Donau-Ries;9,0;100343;99971;59240;40570;172;159;59068;40411;4828;3146
Oberallgäu;9,0;119411;117420;76793;49173;244;186;76549;48987;5473;4031
Bayern;99,0;9547924;9503690;5801454;3886041;15920;14589;5785534;3871452;492443;311982
Regionalverband Saarbrücken;10,0;243243;251551;149551;121445;2471;2797;147080;118648;13599;8342
Merzig-Wadern;10,0;79282;81279;55222;49068;1303;1708;53919;47360;4792;2888
Neunkirchen;10,0;105049;109755;68364;56433;1516;1826;66848;54607;7115;3944
Saarlouis;10,0;153711;158330;103631;85962;2441;3022;101190;82940;9825;5532
Saarpfalz-Kreis;10,0;113837;117837;78970;67638;1649;2306;77321;65332;8556;4799
St. Wendel;10,0;72330;74441;53802;48723;1396;2036;52406;46687;4170;2743
Saarland;99,0;767452;793193;509540;429269;10776;13695;498764;415574;48057;28248
Berlin, Stadt;11,0;2508435;2519758;1520678;1177832;13321;18166;1507357;1159666;149177;91759
Berlin;99,0;2508435;2519758;1520678;1177832;13321;18166;1507357;1159666;149177;91759
Brandenburg an der Havel, Stadt;12,0;58801;60560;28624;22078;440;649;28184;21429;4909;1671
Cottbus, Stadt;12,0;78559;82908;45012;33305;717;732;44295;32573;10911;3175
Frankfurt (Oder), Stadt;12,0;44982;47810;22986;19836;341;451;22645;19385;4698;2482
Potsdam, Stadt;12,0;135094;128782;86270;63897;719;961;85551;62936;9322;4544
Barnim;12,0;151574;148233;88868;66884;1434;1571;87434;65313;17216;5429
Dahme-Spreewald;12,0;136836;134573;86332;68953;1639;2069;84693;66884;17545;6041
Elbe-Elster;12,0;86352;91556;51949;46495;1212;1957;50737;44538;12538;3226
Havelland;12,0;131243;127809;78129;58800;1091;1333;77038;57467;13798;5424
Märkisch-Oderland;12,0;159898;158572;95162;72311;1653;2075;93509;70236;19763;6227
Oberhavel;12,0;172533;169019;105536;79699;1600;1768;103936;77931;19441;7233
Oberspreewald-Lausitz;12,0;92588;98281;52558;45553;1167;1546;51391;44007;13596;3622
Oder-Spree;12,0;148367;150759;87721;74071;1583;2114;86138;71957;19212;7100
Ostprignitz-Ruppin;12,0;82700;84740;44207;35720;793;1036;43414;34684;7822;2323
Potsdam-Mittelmark;12,0;172790;168741;113815;89615;1823;2518;111992;87097;16468;6826
Prignitz;12,0;64169;67372;35814;28594;661;754;35153;27840;6730;1675
Spree-Neiße;12,0;96700;102604;59372;50375;1260;1832;58112;48543;17945;4634
Teltow-Fläming;12,0;135562;133945;81353;59484;1476;1679;79877;57805;15401;4921
Uckermark;12,0;99858;103892;54388;45439;1039;1518;53349;43921;11102;2818
Brandenburg;99,0;2048606;2060156;1218096;961109;20648;26563;1197448;934546;238417;79371
Rostock;13,0;168169;169595;101031;69529;1356;1319;99675;68210;12351;5278
Schwerin;13,0;75984;77683;44832;35046;530;675;44302;34371;6986;2476
Mecklenburgische Seenplatte;13,0;215869;223761;119010;102925;2513;3819;116497;99106;22803;6087
Landkreis Rostock;13,0;175793;177347;107583;85498;2118;2734;105465;82764;18147;5551
Vorpommern-Rügen;13,0;185938;190192;103257;85889;2437;3254;100820;82635;19721;6643
Nordwestmecklenburg;13,0;127880;129198;77174;62945;1722;2228;75452;60717;11945;4147
Vorpommern-Greifswald;13,0;193787;199588;111752;96207;2550;3710;109202;92497;23749;7254
Ludwigslust-Parchim;13,0;172741;177406;104441;91000;2239;3347;102202;87653;17503;5112
Mecklenburg-Vorpommern;99,0;1316161;1344770;769080;629039;15465;21086;753615;607953;133205;42548
Chemnitz, Stadt;14,0;193089;200626;120497;89204;1542;1580;118955;87624;27980;8508
Erzgebirgskreis;14,0;283006;299341;182031;154945;4611;5962;177420;148983;49827;16912
Mittelsachsen;14,0;251968;266103;161854;137384;3457;4679;158397;132705;45066;12489
Vogtlandkreis;14,0;189613;200127;115940;96630;2524;3140;113416;93490;27082;9510
Zwickau;14,0;264125;279269;159475;129666;3549;4069;155926;125597;37609;12066
Dresden, Stadt;14,0;428979;431526;294298;232079;2881;3648;291417;228431;57588;21693
Bautzen;14,0;249292;260686;162461;136092;4072;4573;158389;131519;50797;14230
Görlitz;14,0;209406;221577;132908;110824;3264;4163;129644;106661;41988;12584
Meißen;14,0;199321;205737;128305;104260;2606;3174;125699;101086;39018;12292
Sächsische Schweiz-Osterzgebirge;14,0;201720;206844;135002;111731;2860;3468;132142;108263;43478;13574
Leipzig, Stadt;14,0;454329;434618;279855;185252;3360;3382;276495;181870;42954;15277
Leipzig;14,0;213888;218976;132163;105298;2783;3096;129380;102202;32594;9171
Nordsachsen;14,0;162384;167553;94871;75879;2339;2553;92532;73326;24687;5957
Sachsen;99,0;3301120;3392983;2099660;1669244;39848;47487;2059812;1621757;520668;164263
Dessau-Roßlau, Stadt;15,0;66949;71682;36512;33690;798;859;35714;32831;7303;2689
Halle (Saale), Stadt;15,0;185329;190680;106938;77432;1561;1376;105377;76056;16930;5379
Magdeburg, Landeshauptstadt;15,0;188108;193706;102815;74684;1615;1533;101200;73151;16283;5063
Altmarkkreis Salzwedel;15,0;69354;73088;38977;33174;889;1062;38088;32112;6538;1622
Anhalt-Bitterfeld;15,0;135013;143863;71757;61292;1860;2275;69897;59017;15786;4761
Börde;15,0;142547;147327;76206;63238;1665;2382;74541;60856;15221;3274
Burgenlandkreis;15,0;148580;158118;82394;72570;2136;2462;80258;70108;19749;4813
Harz;15,0;182756;191721;97792;78141;2355;2534;95437;75607;17111;4123
Jerichower Land;15,0;75723;79325;41481;38036;1135;1405;40346;36631;7831;1850
Mansfeld-Südharz;15,0;115994;124226;62291;56178;1754;2231;60537;53947;15312;3284
Saalekreis;15,0;154540;161167;88259;72070;2306;2581;85953;69489;20915;4687
Salzlandkreis;15,0;161192;171435;80658;69598;2206;2607;78452;66991;16992;3559
Stendal;15,0;93514;97915;50842;41907;1044;1403;49798;40504;9638;2132
Wittenberg;15,0;106738;112612;61436;52604;1520;1899;59916;50705;13075;3369
Sachsen-Anhalt;99,0;1826337;1916865;998358;824614;22844;26609;975514;798005;198684;50605
Erfurt, Stadt;16,0;165659;167978;100627;80621;1454;1513;99173;79108;16672;5731
Gera, Stadt;16,0;76771;81727;43578;35553;702;837;42876;34716;12698;3875
Jena, Stadt;16,0;82364;84679;53518;44245;575;583;52943;43662;6738;2968
Suhl, Stadt;16,0;30717;33385;17351;15066;292;354;17059;14712;3146;1157
Weimar, Stadt;16,0;49921;50930;31460;25440;403;457;31057;24983;4350;1414
Eisenach, Stadt;16,0;33008;34353;19656;17736;315;319;19341;17417;3874;879
Eichsfeld;16,0;80973;83965;53326;48132;935;1208;52391;46924;9786;2775
Nordhausen;16,0;69807;72675;41083;35305;793;962;40290;34343;8992;1901
Wartburgkreis;16,0;98890;104301;61886;56774;1348;1680;60538;55094;13890;3460
Unstrut-Hainich-Kreis;16,0;84351;88204;50181;43760;1072;1302;49109;42458;11351;2607
Kyffhäuserkreis;16,0;63063;66767;37495;34500;1049;1164;36446;33336;8471;1636
Schmalkalden-Meiningen;16,0;104437;110551;63883;57607;1456;1757;62427;55850;13895;3728
Gotha;16,0;107910;112936;64599;58637;1409;1705;63190;56932;14385;4272
Sömmerda;16,0;57450;59940;35151;32190;828;1121;34323;31069;8493;2106
Hildburghausen;16,0;52476;55364;33914;29043;719;849;33195;28194;8030;1851
Ilm-Kreis;16,0;85619;89599;54305;47319;1113;1543;53192;45776;13419;4515
Weimarer Land;16,0;66547;68439;43772;38718;919;1143;42853;37575;10449;2797
Sonneberg;16,0;48378;51674;27807;24489;524;855;27283;23634;7206;1616
Saalfeld-Rudolstadt;16,0;88342;93580;53882;47555;1034;1405;52848;46150;14592;4107
Saale-Holzland-Kreis;16,0;68278;70654;45101;41321;1003;1171;44098;40150;10210;3920
Saale-Orla-Kreis;16,0;67029;71195;42514;38529;884;1181;41630;37348;11264;3114
Greiz;16,0;82940;88102;53197;48740;1139;1551;52058;47189;13297;4559
Altenburger Land;16,0;75936;80935;42954;39093;1053;1436;41901;37657;11371;3023
Thüringen;99,0;1740866;1821933;1071240;940373;21019;26096;1050221;914277;236579;68011
Bundesgebiet;;61600263;61998824;37807746;29843798;410857;488706;37396889;29355092;4104453;2070014
