,region,subregion,eligible_voters_19,eligible_voters_14,voters_19,voters_14,invalid_19,invalid_14,valid_19,valid_14,afd_19,afd_14,nr,state,state_abbrev,2013,2014,2015,2016,2017,2018,_merge
131,Gießen,6.0,200804.0,198130.0,115449.0,81310.0,1061.0,1018.0,114388.0,80292.0,11064.0,6914.0,118.,Hessen,LK,"9,23","9,24","9,22",9.0,8.98,9.12,both
132,Lahn-Dill-Kreis,6.0,189854.0,192664.0,99745.0,64892.0,1108.0,723.0,98637.0,64169.0,11847.0,5574.0,183.,Hessen,LK,"9,29","9,45","9,54",9.53,9.51,9.45,both
133,Limburg-Weilburg,6.0,128963.0,130500.0,71311.0,50251.0,781.0,581.0,70530.0,49670.0,7821.0,5053.0,194.,Hessen,LK,"10,35","10,41","10,67",10.86,11.04,11.17,both
134,Marburg-Biedenkopf,6.0,183183.0,185360.0,104228.0,72844.0,689.0,765.0,103539.0,72079.0,9621.0,5397.0,213.,Hessen,LK,8,"8,01","8,13",8.16,8.04,8.11,both
135,Vogelsbergkreis,6.0,84549.0,86636.0,47658.0,36194.0,647.0,706.0,47011.0,35488.0,5823.0,3369.0,369.,Hessen,LK,"8,41","8,87",9,9.22,9.27,9.7,both
136,Kassel,6.0,140438.0,142751.0,77652.0,57059.0,663.0,592.0,76989.0,56467.0,5747.0,4560.0,167.,Hessen,LK,"9,06","9,16","9,19",9.3,9.26,9.28,both
137,Kassel,6.0,140438.0,142751.0,77652.0,57059.0,663.0,592.0,76989.0,56467.0,5747.0,4560.0,168.,Hessen,KS,"16,32","16,62","16,47",16.37,15.85,15.7,both
138,Kassel,6.0,188527.0,190823.0,106538.0,78845.0,1478.0,1485.0,105060.0,77360.0,10021.0,7277.0,167.,Hessen,LK,"9,06","9,16","9,19",9.3,9.26,9.28,both
139,Kassel,6.0,188527.0,190823.0,106538.0,78845.0,1478.0,1485.0,105060.0,77360.0,10021.0,7277.0,168.,Hessen,KS,"16,32","16,62","16,47",16.37,15.85,15.7,both
140,Fulda,6.0,169880.0,169360.0,97074.0,66281.0,1004.0,837.0,96070.0,65444.0,12312.0,5860.0,110.,Hessen,LK,"7,52","7,6","7,65",7.77,7.71,7.7,both
141,Hersfeld-Rotenburg,6.0,93123.0,96421.0,51375.0,37534.0,671.0,509.0,50704.0,37025.0,6717.0,3651.0,148.,Hessen,LK,"9,11","9,19","9,36",9.47,9.4,9.41,both
142,Schwalm-Eder-Kreis,6.0,142375.0,145071.0,79752.0,62701.0,1114.0,1549.0,78638.0,61152.0,8703.0,5466.0,325.,Hessen,LK,"9,65","9,8","9,81",10.04,10.02,10.06,both
143,Waldeck-Frankenberg,6.0,122990.0,126068.0,64235.0,46887.0,627.0,582.0,63608.0,46305.0,6481.0,3663.0,374.,Hessen,LK,"9,71","9,88","9,97",9.97,9.84,9.79,both
144,Werra-Meißner-Kreis,6.0,80896.0,83046.0,45003.0,35088.0,656.0,698.0,44347.0,34390.0,4720.0,2996.0,383.,Hessen,LK,"10,92","11,17","11,34",11.56,11.42,11.61,both
145,Koblenz,7.0,83969.0,84878.0,51017.0,41846.0,542.0,535.0,50475.0,41311.0,3736.0,2741.0,175.,Rheinland-Pfalz,KS,"12,73","12,68","12,17",12.61,12.58,12.45,both
146,Ahrweiler,7.0,101203.0,100539.0,66724.0,57741.0,883.0,1104.0,65841.0,56637.0,5224.0,4093.0,2.,Rheinland-Pfalz,LK,"8,72","8,6","8,32",8.61,8.65,8.67,both
147,Altenkirchen (Westerwald),7.0,100084.0,101504.0,60892.0,56088.0,954.0,1191.0,59938.0,54897.0,5820.0,3386.0,6.,Rheinland-Pfalz,LK,"11,43","11,58","11,09",11.57,11.49,11.56,both
148,Bad Kreuznach,7.0,120062.0,121149.0,76655.0,70980.0,1389.0,1708.0,75266.0,69272.0,7705.0,4583.0,23.,Rheinland-Pfalz,LK,"10,11","10,2","9,96",9.99,9.93,9.95,both
149,Birkenfeld,7.0,63925.0,66293.0,37437.0,35126.0,846.0,1070.0,36591.0,34056.0,3964.0,2209.0,38.,Rheinland-Pfalz,LK,"10,26","10,52","10,44",10.75,10.79,10.84,both
150,Cochem-Zell,7.0,48692.0,49773.0,33505.0,31627.0,784.0,1018.0,32721.0,30609.0,2504.0,2100.0,59.,Rheinland-Pfalz,LK,"7,69","7,66","7,53",8.05,8.21,8.43,both
151,Mayen-Koblenz,7.0,166494.0,166771.0,103595.0,92494.0,1666.0,1977.0,101929.0,90517.0,8675.0,5467.0,216.,Rheinland-Pfalz,LK,"9,82","9,84","9,71",9.94,10.03,10.02,both
152,Neuwied,7.0,138233.0,138629.0,85529.0,75190.0,1172.0,1394.0,84357.0,73796.0,7703.0,5476.0,241.,Rheinland-Pfalz,LK,"10,69","10,8","10,72",10.84,10.95,10.86,both
153,Rhein-Hunsrück-Kreis,7.0,80638.0,81316.0,54996.0,50220.0,1040.0,1287.0,53956.0,48933.0,4763.0,2751.0,296.,Rheinland-Pfalz,LK,"8,18","8,33","8,16",8.56,8.46,8.45,both
154,Rhein-Lahn-Kreis,7.0,94896.0,96743.0,62471.0,56918.0,1132.0,1365.0,61339.0,55553.0,5778.0,4180.0,299.,Rheinland-Pfalz,LK,"10,03","10,28","10,32",10.95,10.87,10.79,both
155,Westerwaldkreis,7.0,154465.0,154995.0,100878.0,91273.0,1719.0,2303.0,99159.0,88970.0,9443.0,5578.0,386.,Rheinland-Pfalz,LK,"10,77","10,94","10,66",11.01,10.98,10.91,both
156,Trier,7.0,80431.0,81791.0,48513.0,39723.0,495.0,550.0,48018.0,39173.0,3223.0,2298.0,356.,Rheinland-Pfalz,KS,"10,14","10,12","10,11",10.19,9.94,10.52,both
157,Bernkastel-Wittlich,7.0,86098.0,87851.0,56022.0,52323.0,1166.0,1698.0,54856.0,50625.0,4197.0,2642.0,35.,Rheinland-Pfalz,LK,8,"8,15","7,95",8.41,8.36,8.49,both
158,Eifelkreis Bitburg-Prüm,7.0,72189.0,73408.0,50043.0,46126.0,1222.0,1659.0,48821.0,44467.0,3355.0,1989.0,84.,Rheinland-Pfalz,LK,"7,72","7,7","7,13",7.92,8.15,8.45,both
159,Vulkaneifel,7.0,47996.0,48766.0,30759.0,29543.0,673.0,990.0,30086.0,28553.0,2180.0,1544.0,373.,Rheinland-Pfalz,LK,"8,32","8,35","8,07",8.5,8.52,8.58,both
160,Trier-Saarburg,7.0,112648.0,112654.0,79057.0,69308.0,1456.0,2046.0,77601.0,67262.0,5364.0,3747.0,357.,Rheinland-Pfalz,LK,"6,76","6,73","6,51",6.59,6.6,6.64,both
161,Frankenthal (Pfalz),7.0,33348.0,34215.0,19034.0,16468.0,339.0,299.0,18695.0,16169.0,2532.0,1322.0,102.,Rheinland-Pfalz,KS,"12,49","12,39","12,56",13.01,13.05,13.17,both
162,Kaiserslautern,7.0,71365.0,73674.0,38987.0,32162.0,556.0,498.0,38431.0,31664.0,4622.0,2088.0,163.,Rheinland-Pfalz,LK,"9,93","10,12","10,14",10.5,10.56,10.71,both
163,Kaiserslautern,7.0,71365.0,73674.0,38987.0,32162.0,556.0,498.0,38431.0,31664.0,4622.0,2088.0,164.,Rheinland-Pfalz,KS,"14,6","14,53","14,38",14.81,14.91,14.96,both
164,Kaiserslautern,7.0,81200.0,81706.0,54712.0,50296.0,1293.0,1538.0,53419.0,48758.0,6906.0,3060.0,163.,Rheinland-Pfalz,LK,"9,93","10,12","10,14",10.5,10.56,10.71,both
165,Kaiserslautern,7.0,81200.0,81706.0,54712.0,50296.0,1293.0,1538.0,53419.0,48758.0,6906.0,3060.0,164.,Rheinland-Pfalz,KS,"14,6","14,53","14,38",14.81,14.91,14.96,both
166,Landau in der Pfalz,7.0,36257.0,35005.0,24124.0,19137.0,268.0,321.0,23856.0,18816.0,1881.0,1369.0,184.,Rheinland-Pfalz,KS,"9,54","9,26","9,19",9.1,8.86,8.8,both
167,Ludwigshafen am Rhein,7.0,102451.0,104309.0,55399.0,46979.0,1145.0,869.0,54254.0,46110.0,7684.0,4449.0,201.,Rheinland-Pfalz,KS,"15,26","15,22","15,17",15.27,15.81,15.96,both
168,Mainz,7.0,150251.0,146148.0,102415.0,80511.0,898.0,906.0,101517.0,79605.0,5966.0,4777.0,209.,Rheinland-Pfalz,KS,"8,16","8,05","7,96",7.93,7.9,7.87,both
169,Neustadt an der Weinstraße,7.0,40621.0,41441.0,26537.0,22844.0,318.0,359.0,26219.0,22485.0,2611.0,1400.0,239.,Rheinland-Pfalz,KS,"10,56","10,47","10,65",10.67,10.37,10.38,both
170,Pirmasens,7.0,30963.0,32144.0,15433.0,14448.0,375.0,393.0,15058.0,14055.0,2245.0,886.0,277.,Rheinland-Pfalz,KS,"17,73","18,34","18,43",18.38,18.23,18.35,both
171,Speyer,7.0,36237.0,36768.0,21948.0,18433.0,274.0,263.0,21674.0,18170.0,2278.0,1266.0,338.,Rheinland-Pfalz,KS,"10,71","10,71","10,65",10.62,10.76,10.75,both
172,Worms,7.0,58080.0,59521.0,32205.0,29072.0,544.0,632.0,31661.0,28440.0,3942.0,2212.0,394.,Rheinland-Pfalz,KS,"15,52","15,99","16,1",15.98,15.53,15.24,both
173,Zweibrücken,7.0,25997.0,26888.0,13706.0,11738.0,230.0,243.0,13476.0,11495.0,1583.0,827.0,400.,Rheinland-Pfalz,KS,"12,01","12,03","12,09",12.65,12.64,12.55,both
174,Alzey-Worms,7.0,98159.0,97080.0,66606.0,59159.0,1238.0,1640.0,65368.0,57519.0,8168.0,4480.0,9.,Rheinland-Pfalz,LK,"9,65","9,66","9,65",9.71,9.4,9.27,both
175,Bad Dürkheim,7.0,104795.0,104828.0,73282.0,63248.0,1087.0,1388.0,72195.0,61860.0,8223.0,4452.0,21.,Rheinland-Pfalz,LK,"9,06","9,07","9,11",9.21,9.12,8.96,both
176,Donnersbergkreis,7.0,58275.0,58725.0,38700.0,34773.0,755.0,964.0,37945.0,33809.0,4742.0,2381.0,75.,Rheinland-Pfalz,LK,"10,87","11,06","11,04",11.44,11.46,11.41,both
177,Germersheim,7.0,94398.0,94277.0,62054.0,54520.0,1065.0,1262.0,60989.0,53258.0,8686.0,4122.0,117.,Rheinland-Pfalz,LK,"8,73","8,65","8,71",8.81,8.79,8.84,both
178,Kusel,7.0,56613.0,58242.0,37705.0,35735.0,958.0,1235.0,36747.0,34500.0,4989.0,2121.0,181.,Rheinland-Pfalz,LK,"9,42","9,73","10,05",10.45,10.67,10.74,both
179,Südliche Weinstraße,7.0,87144.0,87691.0,62279.0,55485.0,1194.0,1574.0,61085.0,53911.0,6541.0,3790.0,350.,Rheinland-Pfalz,LK,"7,93","7,94","7,88",7.99,7.92,7.85,both
180,Rhein-Pfalz-Kreis,7.0,117009.0,116626.0,80643.0,69431.0,1142.0,1318.0,79501.0,68113.0,9531.0,5708.0,301.,Rheinland-Pfalz,LK,"7,95","7,92","7,93",7.93,7.87,7.77,both
181,Mainz-Bingen,7.0,158871.0,157364.0,112369.0,98591.0,1497.0,1933.0,110872.0,96658.0,9302.0,6066.0,210.,Rheinland-Pfalz,LK,"8,28","8,3","8,21",8.26,7.98,7.97,both
182,Südwestpfalz,7.0,78708.0,80182.0,55974.0,53610.0,1495.0,2172.0,54479.0,51438.0,6785.0,3042.0,351.,Rheinland-Pfalz,LK,"7,91","8,08","8,02",8.26,8.3,8.3,both
183,Stuttgart,8.0,380985.0,378862.0,255470.0,201380.0,2172.0,1725.0,253298.0,199655.0,18876.0,14887.0,349.,Baden-Württemberg,SK,"10,72","10,92","10,67",11.12,10.5,10.14,both
184,Böblingen,8.0,262708.0,258396.0,173851.0,138646.0,2542.0,2146.0,171309.0,136500.0,17562.0,12193.0,39.,Baden-Württemberg,LK,"6,72","6,85","6,96",7.1,6.96,6.85,both
185,Esslingen,8.0,365828.0,363627.0,242055.0,195920.0,3565.0,3058.0,238490.0,192862.0,22958.0,14586.0,98.,Baden-Württemberg,LK,"7,22","7,45","7,46",7.62,7.4,7.29,both
186,Göppingen,8.0,178436.0,179093.0,111874.0,90071.0,2128.0,2101.0,109746.0,87970.0,13732.0,7571.0,120.,Baden-Württemberg,LK,"7,91","8,04","8,22",8.45,8.52,8.48,both
187,Ludwigsburg,8.0,365970.0,363677.0,244616.0,198535.0,3596.0,3283.0,241020.0,195252.0,23909.0,16232.0,200.,Baden-Württemberg,LK,"7,68","7,79","7,88",7.98,7.75,7.63,both
188,Rems-Murr-Kreis,8.0,297477.0,296116.0,193131.0,156642.0,2913.0,2749.0,190218.0,153893.0,21895.0,15467.0,291.,Baden-Württemberg,LK,"7,87","8,12","8,25",8.36,8.19,8.04,both
189,Heilbronn,8.0,77185.0,78309.0,42835.0,33272.0,636.0,503.0,42199.0,32769.0,5495.0,2793.0,142.,Baden-Württemberg,LK,"6,79","6,93","7,01",7.19,7.3,7.48,both
190,Heilbronn,8.0,77185.0,78309.0,42835.0,33272.0,636.0,503.0,42199.0,32769.0,5495.0,2793.0,143.,Baden-Württemberg,SK,"10,51","10,72","10,97",11.17,11.3,11.64,both
191,Heilbronn,8.0,242435.0,239085.0,155172.0,123791.0,3401.0,3266.0,151771.0,120525.0,19561.0,10041.0,142.,Baden-Württemberg,LK,"6,79","6,93","7,01",7.19,7.3,7.48,both
192,Heilbronn,8.0,242435.0,239085.0,155172.0,123791.0,3401.0,3266.0,151771.0,120525.0,19561.0,10041.0,143.,Baden-Württemberg,SK,"10,51","10,72","10,97",11.17,11.3,11.64,both
193,Hohenlohekreis,8.0,82480.0,82285.0,51822.0,42348.0,857.0,988.0,50965.0,41360.0,6074.0,2930.0,156.,Baden-Württemberg,LK,"5,88","6,06","6,17",6.34,6.43,6.41,both
194,Schwäbisch Hall,8.0,143275.0,141514.0,86854.0,68197.0,1594.0,1883.0,85260.0,66314.0,9753.0,4771.0,324.,Baden-Württemberg,LK,"6,6","6,67","6,74",7.08,7.12,7.12,both
195,Main-Tauber-Kreis,8.0,101414.0,103283.0,67155.0,59300.0,1544.0,1809.0,65611.0,57491.0,7056.0,3894.0,207.,Baden-Württemberg,LK,"5,76","5,98","6,15",6.2,6.25,6.36,both
196,Heidenheim,8.0,93726.0,95219.0,54670.0,44594.0,1144.0,983.0,53526.0,43611.0,5471.0,3252.0,141.,Baden-Württemberg,LK,"7,63","7,8","8,03",8.39,8.46,8.56,both
197,Ostalbkreis,8.0,231322.0,230415.0,145645.0,116074.0,3025.0,3228.0,142620.0,112846.0,14234.0,7846.0,265.,Baden-Württemberg,LK,"6,85",7,"7,09",7.24,7.23,7.23,both
198,Baden-Baden,8.0,38487.0,39257.0,23731.0,18657.0,328.0,273.0,23403.0,18384.0,2235.0,1665.0,25.,Baden-Württemberg,SK,"8,89","9,17","9,64",10.2,10.2,10.35,both
199,Karlsruhe,8.0,209516.0,207006.0,135402.0,101277.0,1346.0,1071.0,134056.0,100206.0,10787.0,7961.0,165.,Baden-Württemberg,LK,"7,12","7,29","7,36",7.69,7.74,7.75,both
200,Karlsruhe,8.0,209516.0,207006.0,135402.0,101277.0,1346.0,1071.0,134056.0,100206.0,10787.0,7961.0,166.,Baden-Württemberg,SK,"8,7","8,82","9,11",9.51,9.51,9.53,both
201,Karlsruhe,8.0,323238.0,323232.0,209814.0,173398.0,4275.0,4865.0,205539.0,168533.0,23146.0,14325.0,165.,Baden-Württemberg,LK,"7,12","7,29","7,36",7.69,7.74,7.75,both
202,Karlsruhe,8.0,323238.0,323232.0,209814.0,173398.0,4275.0,4865.0,205539.0,168533.0,23146.0,14325.0,166.,Baden-Württemberg,SK,"8,7","8,82","9,11",9.51,9.51,9.53,both
203,Rastatt,8.0,167254.0,167850.0,103779.0,83628.0,2644.0,2723.0,101135.0,80905.0,11743.0,7112.0,282.,Baden-Württemberg,LK,"7,06","7,32","7,51",7.76,7.73,7.75,both
204,Heidelberg,8.0,100384.0,98268.0,70400.0,53822.0,535.0,452.0,69865.0,53370.0,4303.0,3611.0,140.,Baden-Württemberg,SK,"6,29","6,19","6,09",6.23,6.32,6.36,both
205,Mannheim,8.0,199916.0,200318.0,116585.0,88285.0,1484.0,1317.0,115101.0,86968.0,12287.0,8437.0,211.,Baden-Württemberg,SK,"13,36","13,43","13,53",14.0,14.14,14.41,both
206,Neckar-Odenwald-Kreis,8.0,108354.0,109800.0,68991.0,59582.0,1675.0,1963.0,67316.0,57619.0,7940.0,3822.0,232.,Baden-Württemberg,LK,"7,4","7,54","7,64",7.83,7.96,7.95,both
207,Rhein-Neckar-Kreis,8.0,399897.0,399656.0,263457.0,216540.0,5367.0,6007.0,258090.0,210533.0,27721.0,18401.0,300.,Baden-Württemberg,LK,"7,9","8,03","8,05",8.16,8.17,8.14,both
208,Pforzheim,8.0,75907.0,77938.0,40419.0,29737.0,793.0,519.0,39626.0,29218.0,6995.0,4232.0,275.,Baden-Württemberg,SK,"13,19","13,6","13,64",14.66,14.66,14.8,both
209,Calw,8.0,112394.0,110858.0,71274.0,57453.0,1213.0,1381.0,70061.0,56072.0,9387.0,5761.0,52.,Baden-Württemberg,LK,"8,02","8,38","8,58",8.78,8.66,8.77,both
210,Enzkreis,8.0,143293.0,142528.0,94043.0,76435.0,1604.0,1947.0,92439.0,74488.0,11985.0,8538.0,91.,Baden-Württemberg,LK,"6,69","6,84","6,85",7.24,7.23,7.12,both
211,Freudenstadt,8.0,86400.0,86824.0,53081.0,44445.0,1045.0,1111.0,52036.0,43334.0,6600.0,3479.0,107.,Baden-Württemberg,LK,"6,92","7,41","7,66",7.74,7.7,7.67,both
212,Freiburg im Breisgau,8.0,157789.0,155449.0,106346.0,85548.0,946.0,830.0,105400.0,84718.0,5586.0,4825.0,105.,Baden-Württemberg,SK,"7,92","7,79","7,76",8.1,8.18,8.26,both
213,Breisgau-Hochschwarzwald,8.0,193103.0,190289.0,130008.0,109276.0,2824.0,2788.0,127184.0,106488.0,9638.0,7879.0,48.,Baden-Württemberg,LK,"7,02","7,04","7,08",7.29,7.31,7.25,both
214,Emmendingen,8.0,123701.0,121857.0,81001.0,65600.0,1839.0,2025.0,79162.0,63575.0,6466.0,3822.0,88.,Baden-Württemberg,LK,"6,98","6,99","7,04",7.13,7.12,7.08,both
215,Ortenaukreis,8.0,317094.0,316303.0,192979.0,161212.0,4389.0,5739.0,188590.0,155473.0,18858.0,11084.0,262.,Baden-Württemberg,LK,"7,91","8,02","8,13",8.36,8.39,8.48,both
216,Rottweil,8.0,102914.0,103195.0,63538.0,53160.0,1374.0,1806.0,62164.0,51354.0,7203.0,4542.0,310.,Baden-Württemberg,LK,"7,11","7,59","7,88",8.0,8.03,7.99,both
217,Schwarzwald-Baar-Kreis,8.0,149042.0,150541.0,87251.0,74092.0,1829.0,1988.0,85422.0,72104.0,8413.0,5925.0,327.,Baden-Württemberg,LK,"8,81","8,97","9,12",9.17,9.24,9.3,both
218,Tuttlingen,8.0,95213.0,96043.0,57744.0,48601.0,1459.0,1640.0,56285.0,46961.0,6124.0,3386.0,359.,Baden-Württemberg,LK,"8,55","8,83","8,93",9.17,9.32,9.32,both
219,Konstanz,8.0,205147.0,202911.0,129936.0,102839.0,2207.0,2225.0,127729.0,100614.0,10243.0,6970.0,177.,Baden-Württemberg,LK,10,"10,12","10,15",10.31,10.24,10.18,both
220,Lörrach,8.0,161560.0,162717.0,97521.0,78919.0,1840.0,2032.0,95681.0,76887.0,8632.0,5303.0,197.,Baden-Württemberg,LK,"8,3","8,48","8,54",8.84,8.82,8.79,both
221,Waldshut,8.0,119122.0,119139.0,73466.0,61692.0,1431.0,1672.0,72035.0,60020.0,6486.0,3800.0,375.,Baden-Württemberg,LK,"8,16","8,45","8,53",8.84,9.01,9.15,both
222,Reutlingen,8.0,200184.0,199935.0,124190.0,100213.0,1742.0,2036.0,122448.0,98177.0,13140.0,8626.0,293.,Baden-Württemberg,LK,"7,24","7,32","7,32",7.65,7.81,8.0,both
223,Tübingen,8.0,161993.0,158007.0,113120.0,91219.0,1230.0,1347.0,111890.0,89872.0,8199.0,6624.0,358.,Baden-Württemberg,LK,"5,52","5,59","5,67",5.91,6.0,6.02,both
224,Zollernalbkreis,8.0,138389.0,139454.0,82245.0,68190.0,1733.0,2010.0,80512.0,66180.0,10153.0,5630.0,399.,Baden-Württemberg,LK,"7,55","7,75","7,97",8.23,8.36,8.62,both
225,Ulm,8.0,83482.0,82591.0,53462.0,41224.0,513.0,421.0,52949.0,40803.0,3798.0,2738.0,362.,Baden-Württemberg,SK,"7,74","7,84","7,72",8.3,8.44,8.63,both
226,Alb-Donau-Kreis,8.0,140125.0,138961.0,93883.0,79911.0,1720.0,1956.0,92163.0,77955.0,9144.0,5221.0,4.,Baden-Württemberg,LK,"5,72","5,8","5,9",6.22,6.38,6.49,both
227,Biberach,8.0,146207.0,143105.0,94008.0,77407.0,1817.0,2159.0,92191.0,75248.0,8583.0,4459.0,36.,Baden-Württemberg,LK,"6,03","6,17","6,3",6.52,6.61,6.73,both
228,Bodenseekreis,8.0,158275.0,156520.0,105627.0,85430.0,1538.0,1558.0,104089.0,83872.0,8966.0,5630.0,41.,Baden-Württemberg,LK,"7,19","7,19","7,08",7.31,7.37,7.4,both
229,Ravensburg,8.0,208837.0,206250.0,133795.0,106823.0,1981.0,2238.0,131814.0,104585.0,9979.0,5886.0,283.,Baden-Württemberg,LK,"6,6","6,62","6,59",6.92,7.08,7.17,both
230,Sigmaringen,8.0,96823.0,96443.0,61177.0,51879.0,1304.0,1669.0,59873.0,50210.0,6120.0,3343.0,333.,Baden-Württemberg,LK,"8,88",9,"9,02",9.21,9.11,9.16,both
231,Ingolstadt,9.0,91126.0,90683.0,48289.0,30667.0,173.0,100.0,48116.0,30567.0,5198.0,2648.0,160.,Bayern,KS,"7,27","7,2","7,37",7.27,7.3,7.3,both
232,München,9.0,928090.0,924005.0,607234.0,422743.0,952.0,950.0,606282.0,421793.0,36282.0,32869.0,229.,Bayern,LK,"6,09","5,94","6,09",6.33,6.47,6.4,both
233,München,9.0,928090.0,924005.0,607234.0,422743.0,952.0,950.0,606282.0,421793.0,36282.0,32869.0,230.,Bayern,KS,"8,13","8,01","8,33",8.63,8.92,8.82,both
234,München,9.0,238218.0,235289.0,168469.0,116090.0,326.0,360.0,168143.0,115730.0,11249.0,10247.0,229.,Bayern,LK,"6,09","5,94","6,09",6.33,6.47,6.4,both
235,München,9.0,238218.0,235289.0,168469.0,116090.0,326.0,360.0,168143.0,115730.0,11249.0,10247.0,230.,Bayern,KS,"8,13","8,01","8,33",8.63,8.92,8.82,both
236,Rosenheim,9.0,41410.0,41596.0,23722.0,15629.0,65.0,51.0,23657.0,15578.0,2241.0,1696.0,304.,Bayern,LK,"6,02","6,03","6,14",6.55,6.6,6.63,both
237,Rosenheim,9.0,41410.0,41596.0,23722.0,15629.0,65.0,51.0,23657.0,15578.0,2241.0,1696.0,305.,Bayern,KS,"9,2","9,32","9,78",10.08,10.36,10.38,both
238,Rosenheim,9.0,195791.0,191063.0,123504.0,79735.0,281.0,248.0,123223.0,79487.0,10275.0,7391.0,304.,Bayern,LK,"6,02","6,03","6,14",6.55,6.6,6.63,both
239,Rosenheim,9.0,195791.0,191063.0,123504.0,79735.0,281.0,248.0,123223.0,79487.0,10275.0,7391.0,305.,Bayern,KS,"9,2","9,32","9,78",10.08,10.36,10.38,both
240,Altötting,9.0,82914.0,82981.0,46301.0,30679.0,114.0,103.0,46187.0,30576.0,4051.0,2332.0,8.,Bayern,LK,"6,62","6,84","6,94",7.02,7.01,7.02,both
241,Berchtesgadener Land,9.0,75243.0,74848.0,43460.0,27428.0,152.0,108.0,43308.0,27320.0,3802.0,2193.0,32.,Bayern,LK,"6,53","6,41","6,49",6.74,6.76,6.74,both
242,Bad Tölz-Wolfratshausen,9.0,93112.0,92336.0,58996.0,40436.0,169.0,191.0,58827.0,40245.0,4547.0,4215.0,24.,Bayern,LK,"6,45","6,39","6,57",6.61,6.72,6.6,both
243,Dachau,9.0,105723.0,102640.0,68828.0,44674.0,166.0,122.0,68662.0,44552.0,5770.0,4079.0,63.,Bayern,LK,"6,14","6,1","6,18",6.17,6.22,6.17,both
244,Ebersberg,9.0,100417.0,97182.0,68997.0,46287.0,154.0,135.0,68843.0,46152.0,4798.0,4032.0,81.,Bayern,LK,"5,57","5,49","5,67",5.8,5.87,5.99,both
245,Eichstätt,9.0,98064.0,96247.0,62387.0,42483.0,167.0,137.0,62220.0,42346.0,6022.0,2846.0,83.,Bayern,LK,"3,71","3,67","3,74",3.79,3.77,3.85,both
246,Erding,9.0,99996.0,96834.0,63272.0,40820.0,181.0,166.0,63091.0,40654.0,5797.0,3725.0,92.,Bayern,LK,"6,24","6,15","6,15",6.32,6.41,6.34,both
247,Freising,9.0,121726.0,119723.0,77503.0,51944.0,193.0,247.0,77310.0,51697.0,6414.0,4998.0,106.,Bayern,LK,"6,48","6,5","6,63",6.9,7.05,6.89,both
248,Fürstenfeldbruck,9.0,155179.0,155035.0,104528.0,71977.0,239.0,205.0,104289.0,71772.0,7694.0,6591.0,111.,Bayern,LK,"6,3","6,19","6,28",6.41,6.53,6.42,both
249,Garmisch-Partenkirchen,9.0,65722.0,65622.0,41459.0,28061.0,152.0,92.0,41307.0,27969.0,3532.0,3079.0,114.,Bayern,LK,"7,23","7,19","7,2",7.43,7.5,7.42,both
250,Landsberg am Lech,9.0,90787.0,88105.0,60365.0,38543.0,139.0,112.0,60226.0,38431.0,4381.0,3125.0,186.,Bayern,LK,"5,46","5,33","5,47",5.74,5.69,5.75,both
251,Miesbach,9.0,73516.0,72572.0,47866.0,30495.0,123.0,106.0,47743.0,30389.0,3538.0,3052.0,222.,Bayern,LK,"6,89","7,13","7,1",7.24,7.19,7.21,both
252,Mühldorf a.Inn,9.0,85802.0,84607.0,48883.0,31554.0,136.0,113.0,48747.0,31441.0,5008.0,2730.0,227.,Bayern,LK,"7,73","7,71","7,72",7.89,8.02,8.15,both
253,Neuburg-Schrobenhausen,9.0,72036.0,70878.0,39960.0,29953.0,85.0,145.0,39875.0,29808.0,3669.0,2514.0,233.,Bayern,LK,"4,95","5,04","5,08",5.22,5.41,5.42,both
254,Pfaffenhofen a.d.Ilm,9.0,93530.0,91211.0,55817.0,39910.0,139.0,197.0,55678.0,39713.0,5752.0,3200.0,274.,Bayern,LK,"6,22","6,22","6,15",6.23,6.31,6.38,both
255,Starnberg,9.0,97203.0,96460.0,69908.0,49854.0,120.0,126.0,69788.0,49728.0,4495.0,4499.0,342.,Bayern,LK,"5,98","5,8","6,06",6.27,6.32,6.3,both
256,Traunstein,9.0,134120.0,132926.0,79687.0,52553.0,210.0,157.0,79477.0,52396.0,6002.0,3544.0,355.,Bayern,LK,"5,59","5,62","5,65",5.78,5.91,5.93,both
257,Weilheim-Schongau,9.0,102661.0,100654.0,65600.0,44488.0,186.0,141.0,65414.0,44347.0,4847.0,4572.0,379.,Bayern,LK,"6,5","6,44","6,56",6.61,6.75,6.67,both
258,Landshut,9.0,49256.0,48822.0,28802.0,18488.0,73.0,57.0,28729.0,18431.0,2552.0,1525.0,187.,Bayern,LK,"5,52","5,46","5,49",5.64,5.65,5.59,both
259,Landshut,9.0,49256.0,48822.0,28802.0,18488.0,73.0,57.0,28729.0,18431.0,2552.0,1525.0,188.,Bayern,KS,"8,2","8,04","7,99",8.39,8.58,8.75,both
260,Landshut,9.0,118913.0,116297.0,73247.0,46391.0,176.0,127.0,73071.0,46264.0,7140.0,2885.0,187.,Bayern,LK,"5,52","5,46","5,49",5.64,5.65,5.59,both
261,Landshut,9.0,118913.0,116297.0,73247.0,46391.0,176.0,127.0,73071.0,46264.0,7140.0,2885.0,188.,Bayern,KS,"8,2","8,04","7,99",8.39,8.58,8.75,both
